driver_id,car_model,active_drive,rides_count,total_earnings,avg_fare,tot_distance,avg_distance,avg_duration,avg_rating,driver_type,earnings_per_km,distance_per_ride
1,Hyundai Solaris,True,303,104828.18,345.9675907590759,1752.11,5.782541254125412,19.712871287128714,4.79,flexible,59.829679643401384,5.782541254125412
2,Lada Vesta,True,304,103425.27,340.21470394736843,1704.61,5.607269736842105,19.144736842105264,4.76,flexible,60.673860883134566,5.607269736842105
3,VW Polo,True,312,108724.52,348.47602564102567,1811.46,5.805961538461538,20.112179487179485,4.97,morning,60.020381349850396,5.805961538461538
4,Renault Logan,True,315,115537.09,366.78441269841267,1977.72,6.278476190476191,21.044444444444444,4.98,night,58.419336407580445,6.278476190476191
5,VW Polo,True,287,106638.38,371.56229965156797,1828.23,6.3701393728223,21.372822299651567,4.89,flexible,58.328755134747816,6.3701393728223
6,Renault Logan,True,305,113364.96,371.68839344262295,1940.34,6.361770491803278,22.00655737704918,4.69,evening,58.42530690497542,6.361770491803278
7,Renault Logan,True,318,114021.6,358.55849056603773,1924.0,6.050314465408805,20.81446540880503,4.82,morning,59.26278586278587,6.050314465408805
8,Hyundai Solaris,True,300,102158.78,340.5292666666667,1688.53,5.628433333333334,19.25,4.91,evening,60.50160790746981,5.628433333333334
9,Renault Logan,True,309,113709.22,367.99100323624594,1939.0,6.275080906148867,21.82200647249191,4.52,evening,58.64322846828262,6.275080906148867
10,Hyundai Solaris,True,305,108478.68,355.6678032786885,1834.96,6.016262295081967,20.481967213114753,4.74,flexible,59.11773553646945,6.016262295081967
11,Renault Logan,True,321,108922.61,339.3227725856698,1793.46,5.5871028037383175,19.364485981308412,4.91,night,60.733225162534985,5.5871028037383175
12,Lada Vesta,True,258,90352.0,350.2015503875969,1511.11,5.857015503875969,20.15891472868217,4.9,evening,59.79180867044756,5.857015503875969
14,Kia Rio,True,314,117076.62,372.85547770700634,2004.55,6.383917197452229,22.197452229299362,4.3,evening,58.40543762939313,6.383917197452229
15,Skoda Rapid,True,285,100592.17,352.9549824561403,1683.11,5.905649122807017,20.642105263157895,4.55,morning,59.76565405707292,5.905649122807017
16,Lada Vesta,True,280,95778.58,342.06635714285716,1586.43,5.665821428571429,19.207142857142856,4.77,morning,60.37365657482523,5.665821428571429
17,Hyundai Solaris,True,291,103529.36,355.7709965635739,1753.79,6.026769759450172,20.072164948453608,4.95,flexible,59.031788298485,6.026769759450172
18,Renault Logan,True,355,134256.93,378.1885352112676,2321.01,6.53805633802817,22.35774647887324,4.53,morning,57.8441842129073,6.53805633802817
19,Hyundai Solaris,True,303,109031.69,359.8405610561056,1841.57,6.0777887788778875,21.174917491749174,4.56,night,59.20583523841071,6.0777887788778875
20,Kia Rio,True,311,112380.24,361.35125401929264,1901.33,6.113601286173633,20.832797427652732,4.21,evening,59.106120452525346,6.113601286173633
21,Kia Rio,True,323,111969.96,346.65622291021674,1859.67,5.75749226006192,19.563467492260063,4.99,flexible,60.20958557163368,5.75749226006192
22,Hyundai Solaris,True,305,105013.53,344.3066557377049,1742.52,5.713180327868852,19.527868852459015,4.97,morning,60.265322636182084,5.713180327868852
23,Lada Vesta,True,316,111650.65,353.3248417721519,1880.74,5.951708860759494,20.28481012658228,4.26,morning,59.365276433744164,5.951708860759494
24,Lada Vesta,True,324,119038.58,367.40302469135804,2041.5,6.300925925925926,20.796296296296298,4.67,night,58.309370560862114,6.300925925925926
25,Skoda Rapid,True,296,99546.94,336.3072297297297,1641.84,5.546756756756756,18.9222972972973,4.21,morning,60.631328265848076,5.546756756756756
26,Hyundai Solaris,True,339,123395.54,363.9986430678466,2098.68,6.1907964601769905,21.020648967551622,4.55,night,58.79673890254827,6.1907964601769905
27,Hyundai Solaris,True,298,107048.89,359.2244630872483,1803.17,6.0509060402684565,21.288590604026847,4.79,night,59.36705357786565,6.0509060402684565
28,Lada Vesta,True,302,107255.67,355.1512251655629,1802.56,5.968741721854305,20.1523178807947,4.24,night,59.50185846795669,5.968741721854305
29,Hyundai Solaris,True,317,107664.81999999999,339.6366561514195,1780.07,5.615362776025236,19.258675078864353,4.76,morning,60.483475368946166,5.615362776025236
32,Renault Logan,True,332,113679.54,342.4082530120482,1892.66,5.700783132530121,19.099397590361445,4.41,morning,60.063371128464695,5.700783132530121
33,VW Polo,True,309,120990.55,391.55517799352754,2112.57,6.836796116504855,23.521035598705502,4.9,evening,57.27173537444913,6.836796116504855
34,Skoda Rapid,True,320,108498.5,339.0578125,1795.94,5.6123125,18.8625,4.46,night,60.41320979542746,5.6123125
35,Renault Logan,True,285,101362.69,355.65856140350877,1707.9,5.9926315789473685,20.54385964912281,4.99,evening,59.34931202061011,5.9926315789473685
36,Renault Logan,True,331,117703.23,355.59888217522655,1981.33,5.985891238670694,20.6404833836858,4.74,morning,59.406171611998005,5.985891238670694
37,Renault Logan,True,325,118217.26,363.74541538461534,2013.21,6.1944923076923075,21.024615384615384,4.73,night,58.72077925303371,6.1944923076923075
38,Lada Vesta,True,325,115349.18,354.92055384615384,1946.19,5.988276923076923,20.18769230769231,4.64,night,59.26922859535811,5.988276923076923
39,Skoda Rapid,True,305,109485.35,358.96836065573774,1849.27,6.063180327868852,20.59672131147541,4.37,evening,59.20463209807114,6.063180327868852
40,Kia Rio,True,344,119712.1,348.0002906976744,1999.01,5.8110755813953485,20.02906976744186,4.38,morning,59.885693418242035,5.8110755813953485
41,Renault Logan,True,337,123240.9,365.7,2101.06,6.23459940652819,21.299703264094955,4.76,evening,58.65653527267189,6.23459940652819
42,Hyundai Solaris,True,311,113257.38,364.17163987138264,1933.53,6.2171382636655945,20.807073954983924,4.61,evening,58.5754449116383,6.2171382636655945
43,Lada Vesta,True,306,108027.17,353.02996732026145,1810.6,5.916993464052287,20.258169934640524,4.91,flexible,59.66374130122612,5.916993464052287
44,Hyundai Solaris,True,298,111156.0,373.00671140939596,1897.23,6.366543624161074,22.184563758389263,4.82,evening,58.588573868218404,6.366543624161074
45,VW Polo,True,303,103648.78,342.0751815181518,1719.78,5.675841584158416,19.297029702970296,4.31,evening,60.26862738257219,5.675841584158416
46,Skoda Rapid,True,311,114810.95,369.16704180064306,1957.43,6.293987138263666,22.006430868167204,4.87,morning,58.65392376738887,6.293987138263666
47,Skoda Rapid,True,309,106474.98,344.57922330097085,1770.42,5.729514563106797,19.39482200647249,4.64,evening,60.14108516623174,5.729514563106797
48,VW Polo,True,284,100370.37,353.4167957746479,1695.2,5.969014084507043,19.975352112676056,4.52,flexible,59.20857126002831,5.969014084507043
49,Kia Rio,True,317,111260.63,350.97990536277604,1860.77,5.86993690851735,19.990536277602523,4.89,night,59.792790081525396,5.86993690851735
50,VW Polo,True,299,110068.9,368.12341137123747,1883.0,6.297658862876254,21.37123745819398,4.27,morning,58.454009559214015,6.297658862876254
51,Hyundai Solaris,True,341,128615.46,377.17143695014664,2211.26,6.484633431085045,22.422287390029325,4.7,flexible,58.16387941716487,6.484633431085045
52,VW Polo,True,302,103316.19,342.10658940397354,1719.59,5.694006622516556,19.072847682119207,4.97,evening,60.08187416767951,5.694006622516556
53,Skoda Rapid,True,309,111780.79,361.75012944983814,1887.94,6.109838187702265,21.537216828478964,4.67,evening,59.207808510863686,6.109838187702265
54,Lada Vesta,True,321,110993.94,345.7755140186916,1836.61,5.7215264797507785,19.82866043613707,4.54,night,60.43413680639875,5.7215264797507785
55,Renault Logan,True,309,109361.01,353.9191262135922,1830.15,5.922815533980583,20.323624595469255,4.55,night,59.755216785509376,5.922815533980583
56,Hyundai Solaris,True,284,97773.03,344.27123239436617,1620.27,5.705176056338028,19.348591549295776,4.4,flexible,60.34366494473144,5.705176056338028
57,VW Polo,True,312,107244.96,343.7338461538462,1782.89,5.714391025641026,19.483974358974358,4.9,night,60.152314500614175,5.714391025641026
58,Skoda Rapid,True,312,111417.24,357.1065384615385,1873.98,6.006346153846154,20.778846153846153,4.75,flexible,59.454871450068836,6.006346153846154
59,VW Polo,True,270,96321.29,356.7455185185185,1625.21,6.019296296296297,20.67037037037037,4.58,flexible,59.26698088247057,6.019296296296297
60,VW Polo,True,306,110131.11,359.90558823529415,1867.59,6.103235294117646,20.745098039215687,4.35,evening,58.96964001734857,6.103235294117646
61,Lada Vesta,True,342,121146.48,354.2294736842105,2036.55,5.954824561403509,20.301169590643276,4.36,evening,59.486130956765116,5.954824561403509
62,Kia Rio,True,279,106074.67,380.19594982078854,1826.67,6.547204301075269,22.799283154121863,4.96,flexible,58.0699688504218,6.547204301075269
63,VW Polo,True,305,108106.97,354.44908196721315,1818.15,5.961147540983607,20.121311475409836,4.95,morning,59.459874047795836,5.961147540983607
64,Hyundai Solaris,True,306,107319.0,350.7156862745098,1796.0,5.869281045751634,20.26797385620915,4.96,evening,59.75445434298441,5.869281045751634
66,Renault Logan,True,315,109648.1,348.0892063492064,1834.12,5.822603174603175,19.48253968253968,4.26,morning,59.782402460035335,5.822603174603175
67,VW Polo,True,313,109759.56999999999,350.6695527156549,1841.44,5.883194888178914,19.73482428115016,4.77,flexible,59.605292597097915,5.883194888178914
68,Skoda Rapid,True,312,111263.85,356.6149038461539,1876.46,6.014294871794872,20.53846153846154,4.72,evening,59.29454931093655,6.014294871794872
69,Skoda Rapid,True,329,121462.28,369.18626139817627,2079.78,6.3215197568389065,21.288753799392097,4.44,night,58.40150400523132,6.3215197568389065
70,Renault Logan,True,325,117081.46,360.25064615384616,1987.94,6.1167384615384615,20.855384615384615,4.22,morning,58.895872108816164,6.1167384615384615
71,Renault Logan,True,338,125430.18,371.0952071005917,2158.11,6.384940828402367,21.399408284023668,5.0,flexible,58.12038311300165,6.384940828402367
72,Hyundai Solaris,True,289,100039.21,346.1564359861592,1661.47,5.749031141868512,19.519031141868513,4.6,flexible,60.21126472340759,5.749031141868512
73,Kia Rio,True,307,106959.1,348.4009771986971,1794.71,5.845960912052117,19.892508143322477,4.86,flexible,59.59687080363959,5.845960912052117
74,Renault Logan,True,290,100030.73,344.93355172413794,1663.4,5.735862068965518,20.079310344827586,4.36,night,60.13630515810989,5.735862068965518
75,Renault Logan,True,322,117281.79,364.2291614906832,2004.64,6.225590062111801,21.167701863354036,4.21,evening,58.50516302178944,6.225590062111801
77,Kia Rio,True,324,111339.67,343.6409567901234,1848.34,5.704753086419752,19.416666666666668,4.88,night,60.237656491771,5.704753086419752
78,Hyundai Solaris,True,331,114243.09,345.14528700906345,1903.4,5.750453172205439,19.522658610271904,4.48,flexible,60.02053693390774,5.750453172205439
79,Hyundai Solaris,True,329,124482.54,378.3663829787234,2145.75,6.522036474164134,22.072948328267476,4.8,flexible,58.013533729465216,6.522036474164134
80,Kia Rio,True,322,125094.35,388.49177018633543,2184.12,6.782981366459627,23.341614906832298,4.93,evening,57.27448583411169,6.782981366459627
81,Renault Logan,True,277,90552.43,326.90407942238267,1473.05,5.317870036101083,17.945848375451263,4.88,flexible,61.47274702148603,5.317870036101083
82,Hyundai Solaris,True,309,110505.98,357.62453074433654,1869.44,6.049967637540453,20.54692556634304,5.0,flexible,59.11180888394385,6.049967637540453
83,Kia Rio,True,299,105501.39,352.84745819397995,1771.29,5.924046822742475,20.267558528428093,4.43,evening,59.561895567637144,5.924046822742475
84,Kia Rio,True,314,102849.76,327.54700636942675,1676.28,5.338471337579618,18.03503184713376,4.7,evening,61.35595485241129,5.338471337579618
85,Skoda Rapid,True,285,103985.98,364.8630877192982,1773.63,6.2232631578947375,21.385964912280702,4.33,night,58.62890230769664,6.2232631578947375
86,VW Polo,True,348,125320.74,360.11706896551726,2120.98,6.094770114942529,21.04310344827586,4.59,night,59.08624315175061,6.094770114942529
87,VW Polo,True,315,110685.1,351.38126984126984,1858.21,5.899079365079365,19.847619047619048,4.75,morning,59.56544201139807,5.899079365079365
88,Hyundai Solaris,True,303,110241.24,363.83247524752477,1877.58,6.196633663366336,21.059405940594058,4.4,evening,58.714536797366826,6.196633663366336
89,Kia Rio,True,301,110469.67,367.0088704318937,1885.6299999999999,6.264551495016611,21.289036544850497,4.31,night,58.585019330409466,6.264551495016611
90,VW Polo,True,316,107922.98,341.52841772151896,1783.88,5.6451898734177215,19.411392405063292,4.86,flexible,60.49901338655066,5.6451898734177215
92,VW Polo,True,328,119808.73,365.27051829268294,2038.64,6.215365853658537,21.49390243902439,4.41,night,58.76894890711454,6.215365853658537
93,Lada Vesta,True,300,107023.69,356.74563333333333,1807.28,6.024266666666667,20.773333333333333,4.71,night,59.21810123500509,6.024266666666667
94,Skoda Rapid,True,330,115358.03,349.56978787878785,1921.96,5.824121212121212,20.12727272727273,4.91,flexible,60.021035817602865,5.824121212121212
95,Skoda Rapid,True,327,110252.23,337.16278287461773,1821.45,5.570183486238532,18.853211009174313,4.23,flexible,60.529923961678875,5.570183486238532
96,Lada Vesta,True,335,113516.55,338.8553731343284,1874.98,5.596955223880597,19.002985074626867,4.52,morning,60.54280578992843,5.596955223880597
97,Kia Rio,True,289,107018.12,370.3049134948097,1836.34,6.354117647058823,21.30795847750865,4.83,evening,58.277944171558644,6.354117647058823
99,Hyundai Solaris,True,324,111208.0,343.2345679012346,1832.15,5.654783950617285,19.787037037037038,4.34,flexible,60.698086947029445,5.654783950617285
101,Skoda Rapid,True,342,113485.18,331.8280116959064,1855.02,5.424035087719298,18.53216374269006,4.59,morning,61.1773350152559,5.424035087719298
102,Lada Vesta,True,306,109708.31,358.5238888888889,1861.22,6.082418300653595,20.558823529411764,4.77,night,58.94429997528503,6.082418300653595
103,Skoda Rapid,True,304,110491.97,363.46042763157897,1878.42,6.179013157894737,21.200657894736842,4.47,flexible,58.82175977683372,6.179013157894737
104,VW Polo,True,335,120698.99,360.29549253731346,2038.72,6.085731343283582,20.95223880597015,4.25,morning,59.203318749019,6.085731343283582
105,Lada Vesta,True,302,97258.73,322.0487748344371,1570.54,5.20046357615894,17.721854304635762,4.65,flexible,61.9269359583328,5.20046357615894
106,VW Polo,True,332,120288.84,362.3157831325301,2047.64,6.167590361445783,20.77710843373494,4.37,evening,58.74511144537125,6.167590361445783
108,VW Polo,True,328,119436.94,364.13701219512194,2028.64,6.184878048780488,21.399390243902438,4.9,flexible,58.875374635223594,6.184878048780488
109,Hyundai Solaris,True,303,110610.44,365.0509570957096,1883.43,6.215940594059406,21.023102310231025,4.47,night,58.72819271223247,6.215940594059406
110,Renault Logan,True,313,112446.15,359.252875399361,1902.4,6.077955271565496,20.77955271565495,4.73,flexible,59.10752207737594,6.077955271565496
111,Skoda Rapid,True,301,106539.53,353.951926910299,1790.74,5.949302325581395,20.285714285714285,4.74,night,59.49469493058736,5.949302325581395
112,VW Polo,True,314,111670.52,355.63859872611465,1882.23,5.994363057324841,20.605095541401273,4.81,morning,59.3288386647753,5.994363057324841
113,Lada Vesta,True,298,107960.61,362.2839261744966,1826.45,6.1290268456375845,21.355704697986578,4.65,night,59.109534890087325,6.1290268456375845
