date,day_of_week,time_of_day,rides_count,gmv,avg_fare,avg_dist
2024-01-01,Monday,1_morning,36,12471.07,356.3162857142857,5.999142857142857
2024-01-01,Monday,2_daytime,34,11753.65,367.3015625,6.2234375
2024-01-01,Monday,3_evening,49,17954.05,374.04270833333334,6.488125
2024-01-01,Monday,4_night,13,4650.2,357.7076923076923,6.044615384615384
2024-01-02,Tuesday,1_morning,41,12649.35,324.3423076923077,5.328205128205129
2024-01-02,Tuesday,2_daytime,27,9063.89,335.6996296296296,5.450740740740741
2024-01-02,Tuesday,3_evening,40,10923.0,273.075,3.9857500000000003
2024-01-02,Tuesday,4_night,13,4311.64,359.30333333333334,6.043333333333333
2024-01-03,Wednesday,1_morning,37,13206.17,388.4167647058824,6.743823529411764
2024-01-03,Wednesday,2_daytime,30,10469.76,348.992,5.782
2024-01-03,Wednesday,3_evening,57,17928.83,332.0153703703704,5.407592592592592
2024-01-03,Wednesday,4_night,10,2820.4,282.04,4.197
2024-01-04,Thursday,1_morning,39,14344.72,377.49263157894734,6.480789473684211
2024-01-04,Thursday,2_daytime,39,15160.83,388.73923076923074,6.734358974358974
2024-01-04,Thursday,3_evening,40,13655.36,350.1374358974359,5.9592307692307696
2024-01-04,Thursday,4_night,13,5012.65,385.5884615384615,6.6230769230769235
2024-01-05,Friday,1_morning,42,14899.22,354.74333333333334,5.960238095238095
2024-01-05,Friday,2_daytime,32,11208.65,350.2703125,5.8996875
2024-01-05,Friday,3_evening,42,15181.83,389.2776923076923,6.752564102564103
2024-01-05,Friday,4_night,19,6520.66,362.25888888888886,6.191666666666666
2024-01-06,Saturday,1_morning,37,14077.97,391.0547222222222,6.788333333333333
2024-01-06,Saturday,2_daytime,31,8691.17,289.7056666666667,4.4590000000000005
2024-01-06,Saturday,3_evening,41,15131.57,398.19921052631577,6.893421052631578
2024-01-06,Saturday,4_night,13,4321.360000000001,332.41230769230776,5.435384615384615
2024-01-07,Sunday,1_morning,55,21047.57,382.6830909090909,6.519454545454545
2024-01-07,Sunday,2_daytime,28,10090.04,360.35857142857145,6.0725
2024-01-07,Sunday,3_evening,54,17835.43,336.51754716981134,5.55943396226415
2024-01-07,Sunday,4_night,13,4761.0,396.75,6.809166666666667
2024-01-08,Monday,1_morning,32,9959.77,355.7060714285714,6.017142857142857
2024-01-08,Monday,2_daytime,31,9047.16,291.8438709677419,4.410322580645161
2024-01-08,Monday,3_evening,37,12526.06,347.9461111111111,5.762222222222222
2024-01-08,Monday,4_night,14,5049.2699999999995,360.66214285714284,6.091428571428572
2024-01-09,Tuesday,1_morning,38,12958.9,350.2405405405405,5.841621621621622
